iter	MAPE	RMSE
0	1.039923863	688.4622393
1	0.9951774653	669.3280156
2	0.9557137624	653.2935034
3	0.9204134076	639.6141862
4	0.8879139716	627.4950954
5	0.8586816807	615.8711147
6	0.8326729156	605.9390467
7	0.808941456	597.0267023
8	0.7883221647	590.0922421
9	0.7697590444	584.2701269
10	0.756695383	579.6284231
11	0.7426633483	576.1187173
12	0.7335183704	573.8373419
13	0.7188808161	569.8599647
14	0.7106561416	567.6509465
15	0.7022786959	565.4747153
16	0.6923865782	561.8072616
17	0.6833708597	559.3035159
18	0.6771713898	557.3637829
19	0.6715778514	555.0840735
20	0.6644767361	552.4634207
21	0.6539383197	548.1262395
22	0.6493593071	547.7482641
23	0.6470321285	547.5690683
24	0.6444859196	547.262591
25	0.6392812785	545.968466
26	0.6344693302	544.7188038
27	0.6231429275	540.3763646
28	0.6216975652	540.1299358
29	0.6178092238	538.5511882
30	0.6144651214	535.8416363
31	0.6138601037	535.8177048
32	0.6096405381	532.4552792
33	0.6064719048	531.6931682
34	0.598162293	528.4591841
35	0.5951362047	526.9587679
36	0.5931910882	525.8259861
37	0.5882510696	520.7148705
38	0.5856672225	520.1289154
39	0.5843595912	519.7102543
40	0.5817291177	516.7018306
41	0.5753011277	514.0718078
42	0.5734368844	513.494812
43	0.5724189796	513.3019237
44	0.5711967828	512.7417974
45	0.5690192757	510.8090995
46	0.5661188748	508.5678512
47	0.5651125657	508.2245301
48	0.563063489	507.3266137
49	0.5627563643	507.2527959
50	0.561206994	505.3784407
51	0.5610155673	505.3164394
52	0.5602809262	504.8049489
53	0.5590718364	504.4549643
54	0.5519104632	501.8343087
55	0.5477618397	500.473788
56	0.5460531542	498.6257646
57	0.5445860723	497.7839482
58	0.5420675901	496.5796954
59	0.5420833891	496.5796916
60	0.5412154633	496.3707492
61	0.5382071976	495.454786
62	0.5356586708	494.3495157
63	0.5352168373	493.9640603
64	0.5329909025	491.9093165
65	0.5304641989	490.5787812
66	0.5281061972	488.2342583
67	0.5263041906	486.1075552
68	0.5249364258	485.282561
69	0.525150287	485.235734
70	0.5227797938	482.6616232
71	0.5218666774	482.2616823
72	0.5218089201	482.2271371
73	0.5200399488	481.6248149
74	0.5187596846	480.5882939
75	0.5166810791	479.7527636
76	0.5166350498	479.7142562
77	0.5163660853	479.552454
78	0.5149223744	478.3703622
79	0.514401651	477.9864825
80	0.5137237264	477.5235088
81	0.5122908919	475.9076827
82	0.5124061265	475.8676194
83	0.511817815	475.6095229
84	0.5115410839	475.1488567
85	0.5111915008	475.0886923
86	0.5084036715	471.6053445
87	0.5031052594	469.9563519
88	0.5009884567	467.7382126
89	0.5001942242	466.6201306
90	0.4990506476	465.6466885
91	0.4978366772	464.9387244
92	0.4962106902	463.5466635
93	0.4929988204	462.3850291
94	0.4918007257	461.1554148
95	0.4890015221	460.2978834
96	0.4875860382	459.0989082
97	0.487592425	458.9676974
98	0.4861665588	457.637759
99	0.4807855591	456.0185875
100	0.4788123283	454.9899723
101	0.4768559048	452.7877095
102	0.4722912036	451.3923636
103	0.4674575297	450.1302233
104	0.4660665307	449.5484317
105	0.4648190074	449.0169901
106	0.4629242714	446.9112616
107	0.4584756154	445.9011217
108	0.4580694512	445.4465526
109	0.4556445284	444.5550148
110	0.4540236367	443.9321843
111	0.4516468705	442.0457588
112	0.4485008068	441.1228443
113	0.4478664047	440.4997008
114	0.4456335831	438.7074653
115	0.4440221328	437.1639492
116	0.4428768041	436.6328726
117	0.4415572314	436.1816775
118	0.4407679616	434.8572083
119	0.4396372166	433.4374129
