iter	Passed	Remaining
0	4	4810
1	9	4883
2	15	5127
3	22	5591
4	28	5574
5	31	5239
6	34	4962
7	38	4736
8	41	4557
9	46	4603
10	50	4499
11	53	4376
12	53	4068
13	56	3977
14	58	3863
15	62	3840
16	66	3823
17	69	3770
18	73	3777
19	76	3759
20	80	3748
21	82	3669
22	83	3538
23	83	3409
24	85	3316
25	88	3311
26	92	3348
27	96	3336
28	96	3244
29	100	3244
30	103	3231
31	103	3140
32	108	3173
33	113	3212
34	117	3238
35	121	3247
36	124	3245
37	128	3245
38	132	3254
39	135	3256
40	140	3284
41	144	3285
42	147	3289
43	151	3298
44	155	3297
45	159	3306
46	162	3304
47	166	3301
48	170	3311
49	172	3271
50	175	3271
51	176	3220
52	180	3228
53	184	3238
54	188	3239
55	194	3271
56	198	3283
57	202	3287
58	206	3289
59	206	3235
60	212	3269
61	216	3277
62	220	3285
63	224	3283
64	228	3281
65	232	3283
66	235	3280
67	239	3278
68	243	3280
69	243	3237
70	247	3240
71	250	3232
72	251	3197
73	255	3199
74	260	3216
75	264	3210
76	265	3177
77	268	3175
78	272	3172
79	275	3169
80	279	3165
81	282	3159
82	283	3126
83	285	3115
84	289	3117
85	290	3086
86	294	3091
87	298	3096
88	305	3127
89	309	3128
90	313	3128
91	317	3134
92	321	3133
93	324	3131
94	328	3129
95	332	3128
96	335	3124
97	340	3129
98	343	3130
99	348	3133
100	351	3131
101	355	3132
102	359	3132
103	363	3129
104	367	3133
105	371	3133
106	375	3129
107	378	3123
108	382	3123
109	385	3115
110	389	3119
111	393	3116
112	396	3112
113	400	3111
114	403	3107
115	407	3106
116	412	3111
117	417	3122
118	421	3121
119	425	3117
120	428	3116
121	432	3113
122	436	3109
123	439	3107
124	443	3103
125	446	3098
126	450	3096
127	454	3098
128	459	3102
129	463	3100
130	466	3097
131	470	3096
132	474	3092
133	478	3095
134	482	3092
135	486	3092
136	490	3091
137	494	3091
138	498	3088
139	502	3087
140	505	3082
141	511	3092
142	515	3091
143	519	3086
144	523	3083
145	526	3080
146	530	3079
147	534	3078
148	539	3081
149	543	3077
150	546	3074
151	550	3071
152	554	3069
153	558	3069
154	564	3077
155	568	3076
156	572	3074
157	576	3071
158	580	3071
159	584	3070
160	588	3066
161	592	3064
162	595	3058
163	598	3052
164	603	3054
165	608	3057
166	613	3058
167	617	3057
168	621	3054
169	624	3050
170	628	3045
171	632	3042
172	637	3045
173	640	3041
174	644	3036
175	646	3026
176	650	3024
177	653	3018
178	658	3022
179	666	3036
180	670	3033
181	674	3031
182	678	3027
183	682	3025
184	687	3028
185	691	3025
186	694	3021
187	698	3017
188	702	3015
189	708	3019
190	713	3020
191	718	3024
192	722	3022
193	727	3020
194	730	3017
195	735	3017
196	739	3013
197	743	3010
198	747	3009
199	752	3008
200	756	3006
201	760	3006
202	766	3007
203	770	3006
204	774	3004
205	781	3011
206	785	3007
207	789	3004
208	793	3003
209	797	3000
210	800	2995
211	804	2990
212	809	2990
213	813	2986
214	817	2983
215	821	2983
216	826	2982
217	831	2981
218	835	2980
219	840	2979
220	844	2976
221	848	2974
222	852	2971
223	856	2967
224	860	2964
225	864	2960
226	868	2957
227	873	2955
228	877	2954
229	880	2948
230	885	2948
231	890	2946
232	894	2944
233	899	2942
234	902	2938
235	907	2937
236	911	2934
237	915	2930
238	919	2928
239	923	2923
240	928	2923
241	930	2913
242	934	2909
243	941	2915
244	946	2916
245	950	2913
246	954	2909
247	959	2909
248	964	2909
249	970	2911
250	974	2909
251	979	2906
252	983	2902
253	987	2900
254	991	2896
255	995	2892
256	1000	2891
257	1004	2889
258	1009	2886
259	1012	2882
260	1016	2879
261	1021	2876
262	1025	2873
263	1029	2870
264	1033	2866
265	1037	2863
266	1041	2859
267	1047	2861
268	1051	2857
269	1056	2855
270	1060	2851
271	1064	2848
272	1068	2846
273	1073	2843
274	1078	2842
275	1082	2840
276	1088	2841
277	1092	2837
278	1096	2834
279	1100	2830
280	1104	2827
281	1109	2824
282	1113	2820
283	1117	2816
284	1121	2812
285	1125	2810
286	1130	2809
287	1135	2807
288	1140	2805
289	1144	2802
290	1148	2798
291	1151	2792
292	1157	2792
293	1161	2790
294	1165	2786
295	1170	2784
296	1175	2782
297	1179	2777
298	1184	2775
299	1189	2774
300	1192	2769
301	1197	2768
302	1202	2765
303	1208	2767
304	1212	2762
305	1217	2760
306	1221	2757
307	1226	2756
308	1231	2753
309	1235	2749
310	1239	2746
311	1244	2744
312	1248	2740
313	1253	2737
314	1257	2734
315	1261	2731
316	1266	2728
317	1271	2725
318	1274	2721
319	1280	2721
320	1285	2718
321	1289	2714
322	1292	2709
323	1298	2709
324	1302	2704
325	1306	2700
326	1311	2698
327	1315	2695
328	1320	2693
329	1324	2689
330	1328	2685
331	1336	2688
332	1340	2685
333	1345	2682
334	1349	2679
335	1354	2677
336	1358	2673
337	1362	2669
338	1366	2664
339	1371	2661
340	1375	2658
341	1379	2655
342	1384	2651
343	1388	2647
344	1392	2644
345	1398	2642
346	1404	2643
347	1409	2640
348	1414	2637
349	1417	2633
350	1422	2629
351	1427	2628
352	1431	2624
353	1436	2621
354	1440	2617
355	1443	2612
356	1448	2608
357	1452	2604
358	1456	2599
359	1457	2591
360	1461	2587
361	1467	2585
362	1470	2581
363	1476	2579
364	1482	2578
365	1486	2575
366	1490	2570
367	1496	2570
368	1503	2570
369	1509	2569
370	1513	2566
371	1518	2562
372	1522	2559
373	1528	2557
374	1533	2555
375	1537	2552
376	1543	2550
377	1547	2546
378	1552	2543
379	1556	2538
380	1560	2535
381	1564	2531
382	1569	2527
383	1573	2524
384	1578	2521
385	1582	2517
386	1587	2514
387	1591	2510
388	1596	2508
389	1601	2504
390	1605	2500
391	1610	2497
392	1615	2495
393	1620	2493
394	1625	2489
395	1630	2486
396	1635	2484
397	1639	2479
398	1643	2475
399	1647	2470
400	1652	2468
401	1656	2464
402	1661	2461
403	1665	2457
404	1671	2455
405	1675	2451
406	1680	2448
407	1684	2444
408	1689	2441
409	1693	2436
410	1698	2433
411	1702	2429
412	1706	2425
413	1711	2422
414	1715	2418
415	1719	2414
416	1723	2409
417	1727	2405
418	1732	2401
419	1738	2400
420	1742	2396
421	1747	2393
422	1751	2389
423	1756	2385
424	1760	2381
425	1764	2378
426	1769	2374
427	1774	2371
428	1778	2367
429	1782	2363
430	1787	2359
431	1791	2355
432	1795	2351
433	1800	2348
434	1804	2343
435	1809	2340
436	1813	2336
437	1817	2332
438	1823	2330
439	1827	2326
440	1831	2321
441	1836	2318
442	1843	2317
443	1858	2327
444	1862	2322
445	1867	2319
446	1872	2315
447	1872	2307
448	1878	2304
449	1882	2301
450	1889	2300
451	1893	2295
452	1897	2291
453	1901	2286
454	1904	2281
455	1909	2277
456	1912	2272
457	1916	2268
458	1920	2264
459	1925	2259
460	1929	2256
461	1935	2254
462	1940	2250
463	1946	2248
464	1950	2244
465	1956	2242
466	1961	2238
467	1965	2234
468	1968	2228
469	1972	2224
470	1979	2222
471	1983	2218
472	1988	2215
473	1992	2211
474	1998	2208
475	2003	2205
476	2008	2202
477	2014	2199
478	2020	2197
479	2025	2194
480	2029	2190
481	2033	2185
482	2039	2183
483	2043	2178
484	2047	2174
485	2051	2170
486	2056	2166
487	2060	2161
488	2065	2157
489	2069	2153
490	2073	2149
491	2077	2144
492	2082	2141
493	2090	2140
494	2094	2137
495	2099	2133
496	2104	2129
497	2109	2126
498	2113	2122
499	2118	2118
500	2122	2114
501	2126	2109
502	2130	2105
503	2134	2100
504	2139	2097
505	2144	2093
506	2150	2091
507	2155	2087
508	2160	2084
509	2165	2080
510	2169	2076
511	2173	2071
512	2177	2067
513	2182	2063
514	2186	2059
515	2193	2057
516	2201	2056
517	2206	2053
518	2213	2051
519	2218	2047
520	2222	2043
521	2225	2038
522	2230	2034
523	2232	2027
524	2238	2025
525	2242	2021
526	2246	2016
527	2251	2012
528	2255	2008
529	2260	2004
530	2264	1999
531	2268	1996
532	2273	1991
533	2277	1987
534	2282	1983
535	2285	1978
536	2286	1971
537	2290	1967
538	2296	1963
539	2300	1959
540	2304	1955
541	2308	1950
542	2314	1947
543	2318	1943
544	2322	1938
545	2328	1936
546	2334	1932
547	2338	1929
548	2344	1926
549	2348	1921
550	2353	1917
551	2358	1914
552	2363	1910
553	2368	1906
554	2373	1903
555	2377	1898
556	2381	1894
557	2386	1890
558	2391	1886
559	2394	1881
560	2399	1877
561	2404	1873
562	2409	1869
563	2412	1865
564	2418	1861
565	2422	1857
566	2427	1853
567	2431	1849
568	2435	1844
569	2440	1840
570	2443	1836
571	2450	1833
572	2455	1829
573	2459	1825
574	2464	1821
575	2468	1816
576	2472	1812
577	2477	1808
578	2480	1803
579	2485	1799
580	2488	1794
581	2493	1790
582	2497	1786
583	2501	1781
584	2505	1777
585	2509	1772
586	2513	1768
587	2517	1764
588	2521	1759
589	2525	1755
590	2529	1750
591	2534	1746
592	2538	1742
593	2542	1737
594	2547	1734
595	2552	1730
596	2557	1726
597	2561	1721
598	2566	1717
599	2571	1714
600	2575	1709
601	2579	1705
602	2583	1701
603	2588	1697
604	2592	1692
605	2596	1688
606	2600	1683
607	2606	1680
608	2610	1675
609	2615	1672
610	2619	1667
611	2623	1663
612	2627	1658
613	2632	1654
614	2636	1650
615	2640	1645
616	2644	1641
617	2649	1637
618	2651	1632
619	2655	1627
620	2660	1623
621	2664	1619
622	2668	1614
623	2673	1610
624	2678	1606
625	2683	1603
626	2687	1598
627	2694	1595
628	2699	1592
629	2704	1588
630	2711	1585
631	2716	1581
632	2721	1577
633	2726	1573
634	2731	1569
635	2735	1565
636	2740	1561
637	2744	1557
638	2749	1553
639	2754	1549
640	2758	1544
641	2764	1541
642	2768	1537
643	2772	1532
644	2778	1529
645	2784	1525
646	2790	1522
647	2794	1517
648	2799	1513
649	2801	1508
650	2805	1504
651	2809	1499
652	2814	1495
653	2818	1491
654	2822	1486
655	2827	1482
656	2833	1479
657	2837	1474
658	2841	1470
659	2845	1465
660	2850	1461
661	2854	1457
662	2859	1453
663	2863	1448
664	2867	1444
665	2872	1440
666	2876	1436
667	2881	1432
668	2886	1427
669	2890	1423
670	2894	1419
671	2898	1414
672	2902	1410
673	2907	1406
674	2911	1401
675	2917	1398
676	2921	1393
677	2926	1389
678	2931	1386
679	2936	1381
680	2939	1377
681	2944	1372
682	2950	1369
683	2956	1365
684	2961	1361
685	2966	1357
686	2971	1353
687	2975	1349
688	2981	1345
689	2982	1339
690	2985	1334
691	2989	1330
692	2993	1325
693	2996	1321
694	3001	1317
695	3005	1312
696	3010	1308
697	3014	1304
698	3018	1299
699	3022	1295
700	3026	1291
701	3031	1286
702	3035	1282
703	3041	1278
704	3045	1274
705	3050	1270
706	3055	1266
707	3058	1261
708	3062	1256
709	3066	1252
710	3068	1247
711	3073	1243
712	3077	1238
713	3081	1234
714	3087	1230
715	3091	1226
716	3096	1222
717	3100	1217
718	3105	1213
719	3110	1209
720	3114	1205
721	3119	1201
722	3123	1196
723	3128	1192
724	3133	1188
725	3136	1183
726	3141	1179
727	3145	1175
728	3150	1171
729	3155	1166
730	3159	1162
731	3164	1158
732	3169	1154
733	3173	1150
734	3177	1145
735	3182	1141
736	3186	1137
737	3190	1132
738	3195	1128
739	3199	1124
740	3203	1119
741	3207	1115
742	3212	1111
743	3216	1106
744	3221	1102
745	3225	1098
746	3232	1094
747	3239	1091
748	3243	1087
749	3248	1082
750	3252	1078
751	3256	1074
752	3260	1069
753	3263	1064
754	3268	1060
755	3273	1056
756	3277	1052
757	3282	1047
758	3287	1043
759	3291	1039
760	3295	1034
761	3300	1030
762	3305	1026
763	3311	1022
764	3317	1018
765	3321	1014
766	3325	1010
767	3328	1005
768	3333	1001
769	3338	997
770	3342	992
771	3347	988
772	3352	984
773	3356	980
774	3360	975
775	3364	971
776	3369	967
777	3373	962
778	3379	958
779	3383	954
780	3388	950
781	3392	945
782	3396	941
783	3401	937
784	3405	932
785	3410	928
786	3416	924
787	3420	920
788	3424	915
789	3429	911
790	3434	907
791	3438	903
792	3443	898
793	3449	894
794	3453	890
795	3457	886
796	3461	881
797	3466	877
798	3470	872
799	3474	868
800	3478	864
801	3483	860
802	3488	855
803	3493	851
804	3497	847
805	3501	842
806	3506	838
807	3511	834
808	3515	830
809	3519	825
810	3523	821
811	3528	816
812	3533	812
813	3537	808
814	3542	804
815	3547	799
816	3551	795
817	3556	791
818	3561	787
819	3565	782
820	3570	778
821	3575	774
822	3580	769
823	3584	765
824	3588	761
825	3593	756
826	3597	752
827	3602	748
828	3607	744
829	3614	740
830	3618	735
831	3625	732
832	3629	727
833	3633	723
834	3638	718
835	3643	714
836	3647	710
837	3652	706
838	3658	702
839	3662	697
840	3667	693
841	3672	689
842	3675	684
843	3681	680
844	3688	676
845	3694	672
846	3698	668
847	3703	663
848	3708	659
849	3708	654
850	3713	650
851	3718	645
852	3722	641
853	3727	637
854	3731	632
855	3736	628
856	3740	624
857	3744	619
858	3748	615
859	3754	611
860	3759	606
861	3764	602
862	3768	598
863	3773	594
864	3777	589
865	3782	585
866	3786	580
867	3790	576
868	3795	572
869	3799	567
870	3804	563
871	3809	559
872	3813	554
873	3819	550
874	3823	546
875	3827	541
876	3831	537
877	3836	533
878	3841	528
879	3846	524
880	3851	520
881	3858	516
882	3863	511
883	3868	507
884	3873	503
885	3874	498
886	3879	494
887	3883	489
888	3887	485
889	3892	481
890	3897	476
891	3901	472
892	3904	467
893	3909	463
894	3913	459
895	3917	454
896	3922	450
897	3926	445
898	3931	441
899	3936	437
900	3940	433
901	3946	428
902	3950	424
903	3954	419
904	3960	415
905	3967	411
906	3972	407
907	3977	402
908	3980	398
909	3985	394
910	3990	389
911	3994	385
912	4000	381
913	4004	376
914	4008	372
915	4012	367
916	4017	363
917	4021	359
918	4025	354
919	4026	350
920	4031	345
921	4035	341
922	4039	336
923	4044	332
924	4049	328
925	4054	324
926	4058	319
927	4063	315
928	4067	310
929	4072	306
930	4076	302
931	4081	297
932	4086	293
933	4090	289
934	4094	284
935	4098	280
936	4102	275
937	4107	271
938	4113	267
939	4118	262
940	4123	258
941	4127	254
942	4132	249
943	4136	245
944	4143	241
945	4150	236
946	4157	232
947	4161	228
948	4165	223
949	4167	219
950	4175	215
951	4179	210
952	4185	206
953	4189	202
954	4194	197
955	4199	193
956	4203	188
957	4208	184
958	4212	180
959	4217	175
960	4221	171
961	4226	166
962	4230	162
963	4235	158
964	4240	153
965	4244	149
966	4248	145
967	4253	140
968	4258	136
969	4263	131
970	4267	127
971	4271	123
972	4275	118
973	4280	114
974	4284	109
975	4288	105
976	4292	101
977	4297	96
978	4301	92
979	4306	87
980	4310	83
981	4317	79
982	4322	74
983	4327	70
984	4332	65
985	4336	61
986	4340	57
987	4345	52
988	4349	48
989	4353	43
990	4359	39
991	4363	35
992	4368	30
993	4373	26
994	4377	21
995	4381	17
996	4386	13
997	4390	8
998	4395	4
999	4399	0
